Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2016,8.8,Nan,Nan,Nan,97.7,30.0,8.40,,,,,,,,,,NaN,,,,,,,,,,,,NaN,,,,,,,,,,,,NaN,0.04,0.003,0.087,0.067,0.087,0.074,0.009,0.036,0.121,0.168,0.075
Feb 2016,8.2,0.008,0.285,0.04,128.57,27.0,8.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2016,8.2,0.027,0.559,0.003,118.15,26.0,8.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr 2016,8.3,0.081,0.102,0.087,55.6,30.0,8.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2016,8.3,0.054,0.036,0.067,90.35,31.50,7.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2016,9.0,0.042,0.165,0.087,31.97,31.0,7.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul 2016,8.7,0.039,0.001,0.074,69.76,31.0,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug 2016,8.8,0.033,0.001,0.009,68.2,28.0,7.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2016,9.0,0.011,0.037,0.036,62.55,28.0,10.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 2016,7.7,0.22,0.055,0.121,74.62,28.0,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov 2016,NaN,0.002,0.14,0.168,191.21,27.0,9.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2016,8.5,0.001,0.014,0.075,139.95,28.0,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2017,8.4,0.001,0.001,0.088,32.49,28.90,7.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 2017,7.9,0.001,2.136,0.165,51.17,27.0,7.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2017,8.5,0.034,0.285,0.066,111.37,30.0,9.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr 2017,7.8,0.047,0.094,0.236,107.03,27.0,6.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2017,8.0,0.043,0.001,0.078,8.69,36.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2017,8.4,0.003,0.001,0.143,56.73,32.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul 2017,8.3,0.103,0.02,0.12,37.41,31.50,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug 2017,8.5,0.031,0.001,0.089,119.1,30.0,9.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2017,6.9,0.004,0.001,0.352,586.06,31.0,10.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 2017,9.3,0.038,0.023,0.18,301.99,30.0,7.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov 2017,8.2,0.028,0.182,0.077,41.26,27.0,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2017,8.2,0.004,0.153,0.119,24.93,28.0,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 2018,8.3,0.027,0.402,0.153,42.22,28.0,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 2018,8.7,0.001,0.367,0.166,67.85,28.0,9.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2018,8.2,0.022,0.222,0.118,70.19,28.0,8.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr 2018,8.5,0.008,0.050,0.138,63.5,28.0,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2018,8.5,0.041,0.050,0.116,10.34,31.90,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,8.7,0.005,0.050,0.140,38.75,32.50,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul 2018,8.8,0.001,0.050,0.082,91.48,29.40,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug 2018,8.6,0.008,0.092,0.193,23.11,28.50,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
